 lat lon alt B
609 -5.0 30.0 200.0 -32.8571
610 -5.0 40.0 200.0 -29.3205
611 -5.0 50.0 200.0 -27.4246
612 -5.0 60.0 200.0 -27.1811
613 -5.0 70.0 200.0 -27.7352
614 -5.0 80.0 200.0 -28.4698
615 -5.0 90.0 200.0 -28.7556
616 -5.0 100.0 200.0 -27.9829
617 -5.0 110.0 200.0 -26.6514
618 -5.0 120.0 200.0 -26.0533
619 -5.0 130.0 200.0 -26.2739
620 -5.0 140.0 200.0 -26.1445
621 -5.0 150.0 200.0 -24.961
622 -5.0 160.0 200.0 -22.6953
623 -5.0 170.0 200.0 -19.4984
624 -5.0 180.0 200.0 -15.9171
625 0.0 -180.0 200.0 -5.72314
626 0.0 -170.0 200.0 -2.27767
627 0.0 -160.0 200.0 0.456557
628 0.0 -150.0 200.0 2.90233
629 0.0 -140.0 200.0 5.47269
630 0.0 -130.0 200.0 8.03674
631 0.0 -120.0 200.0 10.4864
632 0.0 -110.0 200.0 13.2577
633 0.0 -100.0 200.0 16.6026
634 0.0 -90.0 200.0 19.6984
635 0.0 -80.0 200.0 20.7799
636 0.0 -70.0 200.0 18.1688
637 0.0 -60.0 200.0 11.2997
638 0.0 -50.0 200.0 1.09308
639 0.0 -40.0 200.0 -10.051
640 0.0 -30.0 200.0 -19.3277
641 0.0 -20.0 200.0 -25.2812
642 0.0 -10.0 200.0 -28.0653
643 0.0 0.0 200.0 -28.6444
644 0.0 10.0 200.0 -27.8022
645 0.0 20.0 200.0 -25.4833
646 0.0 30.0 200.0 -21.7865
647 0.0 40.0 200.0 -18.1706
648 0.0 50.0 200.0 -16.2181
649 0.0 60.0 200.0 -15.9293
650 0.0 70.0 200.0 -16.4399
651 0.0 80.0 200.0 -17.1852
652 0.0 90.0 200.0 -17.5791
653 0.0 100.0 200.0 -16.9833
